"0","85","36","2015-05-26 11:33:42","181","25","f"
"1","64","52","2012-03-25 01:50:12","406","50","nf"
"2","194","54","2010-02-03 22:02:51","29","23","f"
"3","144","10","1973-03-28 20:12:06","51","54","f"
"4","76","45","1990-10-18 08:47:03","119","9","f"
"5","10","22","2000-08-13 19:50:14","311","48","nf"
"6","340","29","1984-02-02 18:57:23","265","35","f"
"7","365","89","2003-06-17 13:38:31","189","54","nf"
"8","314","86","1971-03-13 07:52:19","461","84","f"
"9","434","55","2010-05-02 21:11:31","56","76","nf"
"10","225","3","2017-03-04 22:02:25","108","57","f"
"11","129","46","1972-10-26 10:28:28","136","29","nf"
"12","404","92","2004-06-18 01:20:27","397","35","f"
"13","484","10","1994-12-17 05:31:47","219","88","f"
"14","124","87","1991-07-01 04:09:26","94","2","f"
"15","25","11","1984-11-27 18:31:53","46","45","f"
"16","274","10","1988-08-06 02:56:20","219","80","f"
"17","411","84","1999-10-31 17:18:15","90","57","nf"
"18","112","9","2010-01-04 06:41:08","472","11","f"
"19","354","13","1993-03-22 11:40:35","61","74","f"
"20","37","13","1987-08-29 09:19:32","392","91","nf"
"21","463","47","1984-01-28 22:41:43","163","17","f"
"22","351","46","2013-07-01 18:17:54","136","26","nf"
"23","129","17","1973-04-14 22:08:23","429","13","f"
"24","278","83","1987-11-27 15:41:45","279","90","f"
"25","42","52","2021-08-30 01:00:58","54","25","f"
"26","113","60","2000-10-21 18:50:06","64","25","nf"
"27","447","34","2012-06-04 12:40:41","451","63","f"
"28","442","93","1998-11-15 12:35:00","191","69","f"
"29","0","44","2013-11-17 18:01:42","225","73","f"
"30","467","3","2018-04-08 02:29:47","321","16","nf"
"31","472","52","2018-12-03 07:52:18","202","67","f"
"32","443","10","1983-11-24 03:42:32","396","45","f"
"33","316","83","2013-06-17 07:24:48","279","6","nf"
"34","498","8","2016-05-28 13:24:02","327","59","f"
"35","276","6","1983-09-14 06:17:19","178","40","f"
"36","14","12","2003-05-22 21:33:52","180","97","f"
