"0","49","American whole magazine truth","e-enable seamless info-mediaries","gadgets","IMAGE","298.27","true","145"
"1","17","Peace economy","redefine B2B content","food","IMAGE","373.09","false","0"
"2","60","Beyond its particularly tree whom","syndicate visionary deliverables","gadgets","IMAGE","31.70","true","48"
"3","92","Report size personal partner","transition open-source action-items","gadgets","IMAGE","360.08","true","470"
"4","72","Draw whose sort","grow e-business infrastructures","gadgets","IMAGE","448.65","false","0"
"5","13","Necessary religious natural","transition best-of-breed metrics","misc","IMAGE","300.36","false","0"
"6","11","Something first drug contain start","integrate back-end info-mediaries","food","IMAGE","45.86","true","449"
"7","19","Successful together","re-contextualize impactful deliverables","gadgets","IMAGE","267.30","true","459"
"8","86","Stay information every manage political","scale synergistic infrastructures","gadgets","IMAGE","313.14","false","0"
"9","75","Friend couple administration even relate","disintermediate frictionless supply-chains","media","IMAGE","417.07","true","401"
"10","18","And off travel","incubate intuitive web-readiness","food","IMAGE","325.24","true","201"
"11","11","Street break painting create","reinvent 24/7 info-mediaries","clothing","IMAGE","372.07","true","279"
"12","54","Big employee determine positive go","reinvent leading-edge mindshare","media","IMAGE","20.76","true","359"
"13","50","Employee toward like","productize frictionless methodologies","clothing","IMAGE","494.98","true","404"
"14","86","Suddenly garden economy","expedite visionary web services","clothing","IMAGE","6.60","false","0"
"15","72","True power home price check","scale value-added bandwidth","food","IMAGE","171.94","true","279"
"16","35","Drive well good","envisioneer synergistic applications","misc","IMAGE","67.91","false","0"
"17","49","Stock ball organization recognize","leverage web-enabled e-services","media","IMAGE","193.90","false","0"
"18","4","The nothing sign remember","leverage customized partnerships","gadgets","IMAGE","359.20","false","0"
"19","67","Traditional page a although","harness extensible bandwidth","food","IMAGE","414.53","true","281"
"20","81","Study candidate","implement wireless methodologies","media","IMAGE","161.00","true","8"
"21","91","Woman put","re-intermediate mission-critical solutions","food","IMAGE","311.83","true","448"
"22","38","Read consider little","re-contextualize impactful functionalities","food","IMAGE","11.35","false","0"
"23","14","Card minute practice","seize one-to-one eyeballs","gadgets","IMAGE","435.02","true","21"
"24","26","Next water voice","redefine revolutionary metrics","media","IMAGE","364.82","false","0"
"25","81","Head Mrs debate onto","implement global eyeballs","gadgets","IMAGE","170.43","false","0"
"26","91","Full per","integrate real-time communities","clothing","IMAGE","298.37","false","0"
"27","50","Can boy room value film","iterate intuitive content","media","IMAGE","427.42","false","0"
"28","53","Between training","syndicate cross-platform supply-chains","food","IMAGE","245.14","false","0"
"29","54","Few same","productize B2C communities","misc","IMAGE","192.81","true","34"
"30","10","Seek article account","strategize distributed systems","media","IMAGE","403.74","true","217"
"31","10","Detail yourself one coach","aggregate synergistic initiatives","food","IMAGE","420.89","true","463"
"32","67","Sell cut market either","visualize revolutionary e-tailers","misc","IMAGE","74.13","true","235"
"33","48","National character writer work","orchestrate wireless functionalities","media","IMAGE","449.66","false","0"
"34","86","Street your play themselves","incubate magnetic synergies","gadgets","IMAGE","361.95","false","0"
"35","41","Modern themselves","expedite B2C architectures","misc","IMAGE","150.91","false","0"
"36","8","Might trip","optimize magnetic channels","food","IMAGE","153.01","false","0"
"37","42","Song than leave","disintermediate enterprise deliverables","misc","IMAGE","17.73","true","348"
"38","66","Wrong section town deal movement","expedite next-generation info-mediaries","media","IMAGE","311.75","true","436"
"39","2","Scientist few","maximize dot-com supply-chains","food","IMAGE","252.33","false","0"
"40","98","His himself clearly very","incentivize front-end supply-chains","food","IMAGE","482.04","false","0"
"41","53","Man tell response","innovate B2C convergence","media","IMAGE","18.78","false","0"
"42","49","Another likely character allow","re-intermediate end-to-end functionalities","gadgets","IMAGE","53.89","false","0"
"43","24","Situation since book art","scale plug-and-play e-business","gadgets","IMAGE","333.15","false","0"
"44","16","Son true their race","exploit 24/7 deliverables","clothing","IMAGE","19.50","false","0"
"45","47","Lay smile away","integrate revolutionary models","gadgets","IMAGE","461.03","true","118"
"46","11","Single recognize information figure box","brand cutting-edge infrastructures","food","IMAGE","212.08","true","213"
"47","99","Safe air land","innovate next-generation web-readiness","media","IMAGE","470.41","false","0"
"48","10","Audience grow ahead girl","implement bleeding-edge relationships","food","IMAGE","305.18","true","2"
"49","26","Security fall ready","re-contextualize bleeding-edge eyeballs","clothing","IMAGE","232.14","false","0"
"50","44","Candidate whom gun","syndicate distributed technologies","misc","IMAGE","325.41","true","304"
"51","10","Mouth film","synergize B2B channels","clothing","IMAGE","161.65","true","122"
"52","96","Fact information animal","enable vertical interfaces","food","IMAGE","359.09","true","216"
"53","38","Indicate unit opportunity fear great","incentivize visionary functionalities","gadgets","IMAGE","326.67","true","193"
"54","52","Individual rock","harness visionary e-tailers","gadgets","IMAGE","150.60","true","487"
"55","23","Everybody newspaper","scale B2C systems","media","IMAGE","94.98","false","0"
"56","55","Easy law view","orchestrate synergistic bandwidth","food","IMAGE","247.96","true","151"
"57","0","Peace account fear shoulder","whiteboard seamless users","misc","IMAGE","79.54","false","0"
"58","11","Set discussion seven evidence","utilize 24/7 niches","food","IMAGE","0.32","false","0"
"59","67","Report know second government the","innovate 24/365 metrics","food","IMAGE","18.09","false","0"
"60","39","Future morning eat turn clear","deploy distributed technologies","misc","IMAGE","68.73","true","273"
"61","13","Western myself scientist tough","empower distributed systems","gadgets","IMAGE","290.80","true","81"
"62","15","High opportunity cause","repurpose seamless convergence","media","IMAGE","380.53","true","245"
"63","62","Five present art feel","extend rich markets","misc","IMAGE","110.03","false","0"
"64","60","Thousand act money at","cultivate strategic methodologies","media","IMAGE","3.46","true","60"
"65","79","Yourself their","scale distributed e-services","clothing","IMAGE","384.73","false","0"
"66","24","Its respond","synergize frictionless supply-chains","media","IMAGE","331.87","false","0"
"67","18","Value challenge firm decade","reinvent visionary convergence","media","IMAGE","218.62","false","0"
"68","93","Somebody keep daughter","unleash scalable architectures","food","IMAGE","119.81","true","446"
"69","23","Arm point community particularly","re-intermediate e-business mindshare","gadgets","IMAGE","394.45","false","0"
"70","58","Place might","visualize user-centric applications","media","IMAGE","250.32","false","0"
"71","27","Entire analysis clear about","visualize clicks-and-mortar channels","food","IMAGE","402.54","true","497"
"72","77","Newspaper determine cover part","expedite strategic vortals","gadgets","IMAGE","274.58","false","0"
"73","32","Miss couple","evolve best-of-breed deliverables","gadgets","IMAGE","96.25","false","0"
"74","86","Fine team effort","seize web-enabled paradigms","gadgets","IMAGE","478.70","true","5"
"75","58","Right answer speak without","target visionary initiatives","food","IMAGE","41.30","true","424"
"76","97","Increase try key","optimize cutting-edge schemas","media","IMAGE","20.23","true","251"
"77","28","Subject everything goal","brand sticky schemas","gadgets","IMAGE","312.69","true","365"
"78","37","Method left plant evening","utilize 24/7 e-business","food","IMAGE","88.93","false","0"
"79","31","Expect save process","extend cutting-edge markets","food","IMAGE","196.82","false","0"
